[2025-05-27T18:23:25.247293200] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:28.026335] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:29.007119700] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:30.005883] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:32.001412100] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:38.235208200] PAGE_VIEW - User visited attack page (IP: 0:0:0:0:0:0:0:1, Path: /attack, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:39.156061700] PAGE_VIEW - User viewed AI team (IP: 0:0:0:0:0:0:0:1, Path: /ai-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:39.901361200] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:43.065309600] PAGE_VIEW - User viewed AI team (IP: 0:0:0:0:0:0:0:1, Path: /ai-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:45.152047] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:46.720486100] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:51.433316100] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:53.198139500] PAGE_VIEW - User visited home page (IP: 0:0:0:0:0:0:0:1, Path: /, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:24:59.149203900] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:08.438638600] PAGE_VIEW - User visited home page (IP: 0:0:0:0:0:0:0:1, Path: /, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:10.397663400] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:11.512781500] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:12.429927600] PAGE_VIEW - User viewed AI team (IP: 0:0:0:0:0:0:0:1, Path: /ai-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:13.401878500] PAGE_VIEW - User visited attack page (IP: 0:0:0:0:0:0:0:1, Path: /attack, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
+[2025-05-27T18:36:13.204641900] PAGE_VIEW - User viewed presentation (IP: 127.0.0.1, Path: /presentation, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:36:14.848303400] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:36:29.122459500] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:36:45.546618800] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:37:06.036347500] ADD_COMMENT - User added comment: <script>window.alert('Hacked')</script> (IP: 127.0.0.1, Path: /comment, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:37:06.045343200] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:37:08.729577900] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:37:42.621643800] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:40:36.421792700] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:46:22.867799100] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:46:24.978697500] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:46:28.290680] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:48:32.510909500] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:48:37.265765100] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:49:28.689939100] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:50:59.999417400] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:04.605718200] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:05.979189100] PAGE_VIEW - User viewed AI team (IP: 127.0.0.1, Path: /ai-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:07.165486] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
